Name = NACA 0009
Mach = 0; Re = 30000; T.U. = 1.0; T.L. = 1.0
Surface Finish = 2; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
?	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
-6.0	-0.675	0.01535	0.006	0.674	0.009	1.000	0.992	-43.947	0.260	0.259
-5.0	-0.572	0.01453	0.005	0.606	0.017	1.000	0.994	-39.384	0.259	0.258
-4.0	-0.463	0.01397	0.004	0.536	0.025	1.000	0.995	-33.176	0.259	0.258
-3.0	-0.350	0.01321	0.003	0.469	0.083	1.000	0.996	-26.493	0.258	0.258
-2.0	-0.234	0.01273	0.002	0.407	0.153	1.000	0.997	-18.384	0.258	0.258
-1.0	-0.117	0.01339	0.001	0.346	0.221	1.000	0.998	-8.757	0.258	0.258
0.0	-0.000	0.01333	-0.000	0.284	0.284	1.000	0.998	-0.000	0.258	0.250
1.0	0.117	0.01339	-0.001	0.221	0.346	1.000	0.998	8.761	0.258	0.258
2.0	0.234	0.01273	-0.002	0.153	0.407	0.997	0.998	18.384	0.258	0.258
3.0	0.350	0.01321	-0.003	0.083	0.469	0.996	0.998	26.493	0.258	0.258
4.0	0.463	0.01397	-0.004	0.025	0.536	0.995	0.998	33.176	0.259	0.258
5.0	0.572	0.01453	-0.005	0.017	0.606	0.994	0.998	39.384	0.259	0.258
6.0	0.675	0.01535	-0.006	0.009	0.674	0.992	0.998	43.947	0.260	0.259
7.0	0.768	0.01491	-0.007	0.007	0.741	0.990	0.998	51.512	0.261	0.259
8.0	0.843	0.02070	-0.008	0.005	0.798	0.948	0.998	40.720	0.348	0.259
9.0	0.740	0.06329	-0.004	0.005	0.841	0.020	0.998	11.685	0.309	0.255
10.0	0.780	0.07312	-0.004	0.005	0.876	0.011	0.998	10.662	0.252	0.255
11.0	0.807	0.08571	-0.004	0.004	0.902	0.009	0.998	9.417	0.263	0.255
12.0	0.821	0.09720	-0.004	0.004	0.919	0.009	0.998	8.451	0.597	0.255
13.0	0.809	0.11467	-0.005	0.004	0.936	0.008	0.997	7.054	0.239	0.256
14.0	0.777	0.13251	-0.005	0.004	0.945	0.007	0.997	5.865	0.244	0.256
15.0	0.735	0.15094	-0.005	0.003	0.957	0.007	0.996	4.867	0.244	0.257
16.0	0.685	0.17452	-0.005	0.003	0.961	0.007	0.996	3.926	0.242	0.258
17.0	0.633	0.19772	-0.006	0.002	0.966	0.008	0.996	3.201	0.240	0.259
18.0	0.580	0.23707	-0.006	0.002	0.971	0.010	0.996	2.447	0.242	0.261
19.0	0.529	0.26674	-0.007	0.002	0.977	0.010	0.995	1.982	0.243	0.263
20.0	0.480	0.29859	-0.007	0.001	0.978	0.010	0.996	1.609	0.242	0.265

Name = NACA 0009
Mach = 0; Re = 830000; T.U. = 1.0; T.L. = 1.0
Surface Finish = 2; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
?	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-20.0	-0.481	0.24873	0.008	0.967	0.001	1.000	0.019	-1.935	0.241	0.267
-19.0	-0.530	0.22391	0.008	0.962	0.001	1.000	0.018	-2.366	0.241	0.264
-18.0	-0.581	0.19850	0.007	0.958	0.001	1.000	0.017	-2.928	0.240	0.262
-17.0	-0.634	0.18099	0.007	0.947	0.002	1.000	0.014	-3.502	0.241	0.260
-16.0	-0.686	0.15783	0.006	0.937	0.002	1.000	0.014	-4.349	0.239	0.259
-15.0	-0.735	0.13900	0.006	0.922	0.003	1.000	0.010	-5.289	0.239	0.258
-14.0	-0.778	0.12055	0.005	0.905	0.003	1.000	0.011	-6.452	0.244	0.257
-13.0	-0.810	0.10477	0.005	0.877	0.004	1.000	0.013	-7.730	0.247	0.256
-12.0	-0.824	0.09061	0.005	0.842	0.004	1.000	0.019	-9.088	0.120	0.256
-11.0	-0.811	0.07919	0.005	0.798	0.004	1.000	0.026	-10.235	0.231	0.256
-10.0	-0.793	0.06505	0.006	0.744	0.005	1.000	0.078	-12.188	0.284	0.257
-9.0	-0.914	0.02035	0.009	0.682	0.005	1.000	0.966	-44.904	0.284	0.259
-8.0	-0.849	0.01475	0.008	0.620	0.005	1.000	0.986	-57.605	0.263	0.259
-7.0	-0.768	0.01509	0.007	0.561	0.006	1.000	0.991	-50.919	0.261	0.259
-6.0	-0.675	0.01418	0.006	0.504	0.008	1.000	0.993	-47.612	0.260	0.259
-5.0	-0.573	0.01344	0.005	0.449	0.015	1.000	0.995	-42.586	0.259	0.258
-4.0	-0.463	0.01293	0.004	0.397	0.021	1.000	0.996	-35.840	0.259	0.258
-3.0	-0.350	0.01250	0.003	0.346	0.042	1.000	0.997	-28.008	0.258	0.258
-2.0	-0.234	0.01307	0.002	0.296	0.091	1.000	0.998	-17.909	0.258	0.258
-1.0	-0.117	0.01271	0.001	0.246	0.144	1.000	0.998	-9.225	0.258	0.258
0.0	-0.000	0.01268	-0.000	0.195	0.195	1.000	0.998	-0.000	0.258	0.250
1.0	0.117	0.01271	-0.001	0.144	0.246	1.000	0.998	9.229	0.258	0.258
2.0	0.234	0.01307	-0.002	0.091	0.296	1.000	0.998	17.917	0.258	0.258
3.0	0.350	0.01250	-0.003	0.042	0.346	0.997	0.998	28.008	0.258	0.258
4.0	0.463	0.01293	-0.004	0.021	0.397	0.996	0.998	35.840	0.259	0.258
5.0	0.573	0.01344	-0.005	0.015	0.449	0.995	0.998	42.586	0.259	0.258
6.0	0.675	0.01418	-0.006	0.008	0.504	0.993	0.998	47.612	0.260	0.259
7.0	0.768	0.01509	-0.007	0.006	0.561	0.991	0.998	50.919	0.261	0.259
8.0	0.849	0.01475	-0.008	0.005	0.620	0.986	0.998	57.605	0.263	0.259
9.0	0.914	0.02035	-0.009	0.005	0.682	0.966	0.998	44.904	0.284	0.259
10.0	0.793	0.06505	-0.006	0.005	0.744	0.078	0.998	12.188	0.284	0.257
11.0	0.811	0.07919	-0.005	0.004	0.798	0.026	0.998	10.235	0.231	0.256
12.0	0.824	0.09061	-0.005	0.004	0.842	0.019	0.998	9.088	0.120	0.256
13.0	0.810	0.10477	-0.005	0.004	0.877	0.013	0.998	7.730	0.247	0.256
14.0	0.778	0.12055	-0.005	0.003	0.905	0.011	0.998	6.452	0.244	0.257
15.0	0.735	0.13900	-0.006	0.003	0.922	0.010	0.998	5.289	0.239	0.258
16.0	0.686	0.15783	-0.006	0.002	0.937	0.014	0.998	4.349	0.239	0.259
17.0	0.634	0.18099	-0.007	0.002	0.947	0.014	0.998	3.502	0.241	0.260
18.0	0.581	0.19850	-0.007	0.001	0.958	0.017	0.998	2.928	0.240	0.262
19.0	0.530	0.22391	-0.008	0.001	0.962	0.018	0.997	2.366	0.241	0.264
20.0	0.481	0.24873	-0.008	0.001	0.967	0.019	0.998	1.935	0.241	0.267

Name = NACA 0009
Mach = 0; Re = 1230000; T.U. = 1.0; T.L. = 1.0
Surface Finish = 2; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
?	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-20.0	-0.482	0.23645	0.008	0.958	0.001	1.000	0.022	-2.037	0.242	0.267
-19.0	-0.530	0.21702	0.008	0.947	0.001	1.000	0.021	-2.443	0.242	0.265
-18.0	-0.582	0.19316	0.008	0.937	0.001	1.000	0.021	-3.012	0.242	0.263
-17.0	-0.635	0.16960	0.007	0.920	0.001	1.000	0.019	-3.742	0.243	0.261
-16.0	-0.688	0.14860	0.007	0.902	0.002	1.000	0.020	-4.627	0.244	0.260
-15.0	-0.737	0.13123	0.006	0.874	0.002	1.000	0.021	-5.618	0.242	0.259
-14.0	-0.780	0.11597	0.006	0.837	0.003	1.000	0.020	-6.723	0.241	0.258
-13.0	-0.812	0.10054	0.006	0.789	0.003	1.000	0.024	-8.077	0.248	0.257
-12.0	-0.828	0.08685	0.006	0.733	0.004	1.000	0.039	-9.528	0.301	0.257
-11.0	-0.820	0.07325	0.006	0.675	0.004	1.000	0.075	-11.201	0.277	0.258
-10.0	-0.954	0.02189	0.009	0.618	0.005	1.000	0.907	-43.562	0.275	0.260
-9.0	-0.916	0.01922	0.009	0.563	0.005	1.000	0.979	-47.648	0.266	0.259
-8.0	-0.850	0.01547	0.008	0.511	0.005	1.000	0.989	-54.935	0.263	0.259
-7.0	-0.769	0.01433	0.007	0.461	0.006	1.000	0.993	-53.642	0.261	0.259
-6.0	-0.675	0.01354	0.006	0.413	0.008	1.000	0.994	-49.850	0.260	0.259
-5.0	-0.573	0.01292	0.005	0.366	0.012	1.000	0.996	-44.328	0.259	0.258
-4.0	-0.464	0.01238	0.004	0.322	0.019	1.000	0.997	-37.453	0.259	0.258
-3.0	-0.350	0.01308	0.003	0.279	0.036	1.000	0.998	-26.757	0.258	0.258
-2.0	-0.234	0.01259	0.002	0.238	0.065	1.000	0.998	-18.598	0.258	0.258
-1.0	-0.117	0.01238	0.001	0.195	0.109	1.000	0.998	-9.470	0.258	0.258
0.0	-0.000	0.01222	-0.000	0.152	0.152	1.000	0.998	-0.000	0.258	0.250
1.0	0.117	0.01238	-0.001	0.109	0.195	1.000	0.998	9.474	0.258	0.258
2.0	0.234	0.01259	-0.002	0.065	0.238	1.000	0.998	18.606	0.258	0.258
3.0	0.350	0.01308	-0.003	0.036	0.279	1.000	0.998	26.771	0.258	0.258
4.0	0.464	0.01238	-0.004	0.019	0.322	0.997	0.998	37.453	0.259	0.258
5.0	0.573	0.01292	-0.005	0.012	0.366	0.996	0.998	44.328	0.259	0.258
6.0	0.675	0.01354	-0.006	0.008	0.413	0.994	0.998	49.850	0.260	0.259
7.0	0.769	0.01433	-0.007	0.006	0.461	0.993	0.998	53.642	0.261	0.259
8.0	0.850	0.01547	-0.008	0.005	0.511	0.989	0.998	54.935	0.263	0.259
9.0	0.916	0.01922	-0.009	0.005	0.563	0.979	0.998	47.648	0.266	0.259
10.0	0.954	0.02189	-0.009	0.005	0.618	0.907	0.998	43.562	0.275	0.260
11.0	0.820	0.07325	-0.006	0.004	0.675	0.075	0.998	11.201	0.277	0.258
12.0	0.828	0.08685	-0.006	0.004	0.733	0.039	0.998	9.528	0.301	0.257
13.0	0.812	0.10054	-0.006	0.003	0.789	0.024	0.998	8.077	0.248	0.257
14.0	0.780	0.11597	-0.006	0.003	0.837	0.020	0.998	6.723	0.241	0.258
15.0	0.737	0.13123	-0.006	0.002	0.874	0.021	0.998	5.618	0.242	0.259
16.0	0.688	0.14860	-0.007	0.002	0.902	0.020	0.998	4.627	0.244	0.260
17.0	0.635	0.16960	-0.007	0.001	0.920	0.019	0.998	3.742	0.243	0.261
18.0	0.582	0.19316	-0.008	0.001	0.937	0.021	0.998	3.012	0.242	0.263
19.0	0.530	0.21702	-0.008	0.001	0.947	0.021	0.998	2.443	0.242	0.265
20.0	0.482	0.23645	-0.008	0.001	0.958	0.022	0.998	2.037	0.242	0.267

Name = NACA 0009
Mach = 0; Re = 1630000; T.U. = 1.0; T.L. = 1.0
Surface Finish = 2; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
?	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-20.0	-0.482	0.22492	0.008	0.941	0.001	1.000	0.023	-2.142	0.242	0.268
-19.0	-0.530	0.20567	0.008	0.927	0.001	1.000	0.023	-2.579	0.242	0.265
-18.0	-0.582	0.18169	0.008	0.908	0.001	1.000	0.022	-3.203	0.242	0.263
-17.0	-0.635	0.16875	0.007	0.880	0.001	1.000	0.022	-3.764	0.243	0.261
-16.0	-0.688	0.14461	0.007	0.843	0.001	1.000	0.023	-4.758	0.244	0.260
-15.0	-0.738	0.13090	0.007	0.800	0.002	1.000	0.025	-5.637	0.243	0.259
-14.0	-0.781	0.11113	0.006	0.751	0.003	1.000	0.025	-7.024	0.245	0.258
-13.0	-0.814	0.09714	0.006	0.693	0.003	1.000	0.036	-8.385	0.255	0.258
-12.0	-0.832	0.08256	0.007	0.637	0.004	1.000	0.062	-10.081	0.291	0.258
-11.0	-0.848	0.05937	0.008	0.584	0.004	1.000	0.213	-14.289	0.273	0.259
-10.0	-0.962	0.02060	0.009	0.535	0.004	1.000	0.948	-46.681	0.263	0.260
-9.0	-0.917	0.01445	0.009	0.489	0.005	1.000	0.983	-63.443	0.266	0.259
-8.0	-0.850	0.01493	0.008	0.448	0.005	1.000	0.990	-56.945	0.262	0.259
-7.0	-0.769	0.01386	0.007	0.402	0.005	1.000	0.993	-55.440	0.261	0.259
-6.0	-0.675	0.01311	0.006	0.358	0.007	1.000	0.995	-51.503	0.260	0.259
-5.0	-0.573	0.01253	0.005	0.317	0.010	1.000	0.996	-45.713	0.259	0.258
-4.0	-0.464	0.01200	0.004	0.278	0.017	1.000	0.998	-38.617	0.259	0.258
-3.0	-0.350	0.01265	0.003	0.242	0.030	1.000	0.998	-27.664	0.258	0.258
-2.0	-0.234	0.01225	0.002	0.206	0.055	1.000	0.998	-19.113	0.258	0.258
-1.0	-0.117	0.01204	0.001	0.167	0.088	1.000	0.998	-9.736	0.258	0.258
0.0	-0.000	0.01193	-0.000	0.127	0.127	1.000	0.998	-0.000	0.258	0.250
1.0	0.117	0.01204	-0.001	0.088	0.167	1.000	0.998	9.739	0.258	0.258
2.0	0.234	0.01225	-0.002	0.055	0.206	1.000	0.998	19.121	0.258	0.258
3.0	0.350	0.01265	-0.003	0.030	0.242	1.000	0.998	27.675	0.258	0.258
4.0	0.464	0.01200	-0.004	0.017	0.278	1.000	0.998	38.636	0.259	0.258
5.0	0.573	0.01253	-0.005	0.010	0.317	0.996	0.998	45.713	0.259	0.258
6.0	0.675	0.01311	-0.006	0.007	0.358	0.995	0.998	51.503	0.260	0.259
7.0	0.769	0.01386	-0.007	0.005	0.402	0.993	0.998	55.440	0.261	0.259
8.0	0.850	0.01493	-0.008	0.005	0.448	0.990	0.998	56.945	0.262	0.259
9.0	0.917	0.01445	-0.009	0.005	0.489	0.983	0.998	63.443	0.266	0.259
10.0	0.962	0.02060	-0.009	0.004	0.535	0.948	0.998	46.681	0.263	0.260
11.0	0.848	0.05937	-0.008	0.004	0.584	0.213	0.999	14.289	0.273	0.259
12.0	0.832	0.08256	-0.007	0.004	0.637	0.062	0.999	10.081	0.291	0.258
13.0	0.814	0.09714	-0.006	0.003	0.693	0.036	0.999	8.385	0.255	0.258
14.0	0.781	0.11113	-0.006	0.003	0.751	0.025	0.999	7.024	0.245	0.258
15.0	0.738	0.13090	-0.007	0.002	0.800	0.025	0.999	5.637	0.243	0.259
16.0	0.688	0.14461	-0.007	0.001	0.843	0.023	0.999	4.758	0.244	0.260
17.0	0.635	0.16875	-0.007	0.001	0.880	0.022	0.999	3.764	0.243	0.261
18.0	0.582	0.18169	-0.008	0.001	0.908	0.022	0.998	3.203	0.242	0.263
19.0	0.530	0.20567	-0.008	0.001	0.927	0.023	0.998	2.579	0.242	0.265
20.0	0.482	0.22492	-0.008	0.001	0.941	0.023	0.998	2.142	0.242	0.268

Name = NACA 0009
Mach = 0; Re = 2030000; T.U. = 1.0; T.L. = 1.0
Surface Finish = 2; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
?	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-20.0	-0.482	0.22311	0.008	0.918	0.001	1.000	0.024	-2.160	0.243	0.268
-19.0	-0.531	0.19872	0.008	0.895	0.001	1.000	0.024	-2.670	0.242	0.265
-18.0	-0.582	0.18641	0.008	0.864	0.001	1.000	0.023	-3.123	0.242	0.263
-17.0	-0.635	0.16316	0.007	0.821	0.001	1.000	0.022	-3.892	0.244	0.261
-16.0	-0.688	0.14282	0.007	0.772	0.001	1.000	0.024	-4.819	0.245	0.260
-15.0	-0.738	0.12818	0.007	0.719	0.001	1.000	0.027	-5.759	0.247	0.259
-14.0	-0.783	0.11072	0.007	0.668	0.002	1.000	0.036	-7.070	0.249	0.259
-13.0	-0.817	0.09477	0.007	0.617	0.003	1.000	0.048	-8.619	0.256	0.258
-12.0	-0.839	0.07815	0.007	0.568	0.004	1.000	0.095	-10.737	0.277	0.258
-11.0	-0.913	0.03550	0.009	0.521	0.003	1.000	0.537	-25.733	0.269	0.260
-10.0	-0.964	0.01985	0.009	0.477	0.004	1.000	0.961	-48.564	0.083	0.260
-9.0	-0.917	0.01400	0.009	0.439	0.005	1.000	0.986	-65.533	0.266	0.259
-8.0	-0.850	0.01449	0.008	0.400	0.005	1.000	0.991	-58.664	0.262	0.259
-7.0	-0.769	0.01348	0.007	0.358	0.005	1.000	0.994	-57.032	0.261	0.259
-6.0	-0.675	0.01276	0.006	0.318	0.006	1.000	0.996	-52.908	0.260	0.259
-5.0	-0.573	0.01219	0.005	0.284	0.009	1.000	0.997	-46.996	0.259	0.258
-4.0	-0.464	0.01289	0.004	0.252	0.016	1.000	0.998	-35.960	0.259	0.258
-3.0	-0.350	0.01237	0.003	0.214	0.024	1.000	0.998	-28.290	0.258	0.258
-2.0	-0.234	0.01201	0.002	0.177	0.045	1.000	0.998	-19.494	0.258	0.258
-1.0	-0.117	0.01181	0.001	0.142	0.075	1.000	0.998	-9.927	0.258	0.258
0.0	-0.000	0.01172	-0.000	0.108	0.108	1.000	0.998	-0.000	0.258	0.250
1.0	0.117	0.01181	-0.001	0.075	0.142	1.000	0.998	9.931	0.258	0.258
2.0	0.234	0.01201	-0.002	0.045	0.177	1.000	0.998	19.502	0.258	0.258
3.0	0.350	0.01237	-0.003	0.024	0.214	1.000	0.998	28.301	0.258	0.258
4.0	0.464	0.01289	-0.004	0.016	0.252	1.000	0.998	35.976	0.259	0.258
5.0	0.573	0.01219	-0.005	0.009	0.284	0.997	0.998	46.996	0.259	0.258
6.0	0.675	0.01276	-0.006	0.006	0.318	0.996	0.998	52.908	0.260	0.259
7.0	0.769	0.01348	-0.007	0.005	0.358	0.994	0.998	57.032	0.261	0.259
8.0	0.850	0.01449	-0.008	0.005	0.400	0.991	0.998	58.664	0.262	0.259
9.0	0.917	0.01400	-0.009	0.005	0.439	0.986	0.999	65.533	0.266	0.259
10.0	0.964	0.01985	-0.009	0.004	0.477	0.961	0.999	48.564	0.083	0.260
11.0	0.913	0.03550	-0.009	0.003	0.521	0.537	0.999	25.733	0.269	0.260
12.0	0.839	0.07815	-0.007	0.004	0.568	0.095	0.999	10.737	0.277	0.258
13.0	0.817	0.09477	-0.007	0.003	0.617	0.048	0.999	8.619	0.256	0.258
14.0	0.783	0.11072	-0.007	0.002	0.668	0.036	0.999	7.070	0.249	0.259
15.0	0.738	0.12818	-0.007	0.001	0.719	0.027	0.999	5.759	0.247	0.259
16.0	0.688	0.14282	-0.007	0.001	0.772	0.024	0.999	4.819	0.245	0.260
17.0	0.635	0.16316	-0.007	0.001	0.821	0.022	0.999	3.892	0.244	0.261
18.0	0.582	0.18641	-0.008	0.001	0.864	0.023	0.999	3.123	0.242	0.263
19.0	0.531	0.19872	-0.008	0.001	0.895	0.024	0.998	2.670	0.242	0.265
20.0	0.482	0.22311	-0.008	0.001	0.918	0.024	0.999	2.160	0.243	0.268

Name = NACA 0009
Mach = 0; Re = 2430000; T.U. = 1.0; T.L. = 1.0
Surface Finish = 2; Stall model = 0; Transition model = 1; Aspect Ratio = 0; ground effect = 0
?	Cl	Cd	Cm 0.25	T.U.	T.L.	S.U.	S.L.	L/D	A.C.	C.P.
[°]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]	[-]
-20.0	-0.482	0.21727	0.009	0.885	0.001	1.000	0.024	-2.219	0.243	0.268
-19.0	-0.531	0.19485	0.008	0.849	0.001	1.000	0.025	-2.724	0.242	0.265
-18.0	-0.582	0.17821	0.008	0.805	0.001	1.000	0.023	-3.267	0.242	0.263
-17.0	-0.635	0.16185	0.007	0.757	0.001	1.000	0.023	-3.925	0.245	0.262
-16.0	-0.689	0.14156	0.007	0.708	0.001	1.000	0.027	-4.865	0.245	0.260
-15.0	-0.739	0.12651	0.007	0.659	0.001	1.000	0.029	-5.838	0.247	0.259
-14.0	-0.784	0.10808	0.007	0.610	0.002	1.000	0.041	-7.251	0.252	0.259
-13.0	-0.820	0.09205	0.007	0.562	0.003	1.000	0.061	-8.904	0.262	0.259
-12.0	-0.850	0.07205	0.008	0.517	0.004	1.000	0.147	-11.793	0.271	0.259
-11.0	-0.956	0.02577	0.010	0.475	0.003	1.000	0.750	-37.114	0.265	0.260
-10.0	-0.966	0.01924	0.009	0.440	0.004	1.000	0.968	-50.191	0.283	0.260
-9.0	-0.918	0.01366	0.009	0.402	0.004	1.000	0.988	-67.163	0.266	0.259
-8.0	-0.850	0.01417	0.008	0.361	0.004	1.000	0.991	-60.005	0.262	0.259
-7.0	-0.769	0.01322	0.007	0.325	0.005	1.000	0.994	-58.151	0.261	0.259
-6.0	-0.675	0.01251	0.006	0.298	0.006	1.000	0.996	-54.001	0.260	0.259
-5.0	-0.573	0.01198	0.005	0.258	0.009	1.000	0.997	-47.825	0.259	0.258
-4.0	-0.464	0.01262	0.004	0.223	0.015	1.000	0.998	-36.732	0.259	0.258
-3.0	-0.350	0.01219	0.003	0.192	0.022	1.000	0.998	-28.720	0.258	0.258
-2.0	-0.234	0.01182	0.002	0.163	0.039	1.000	0.998	-19.806	0.258	0.258
-1.0	-0.117	0.01157	0.001	0.130	0.066	1.000	0.998	-10.137	0.258	0.258
